CODE_ATC,DATE,HOSPI_CODE_UCD,LIT_HC,LIT_HP,MONTH,N_UFS,PN_MEDICAL,POPULATION,P_MEDICAL,QUANTITY,QUANTITY_MA,SEJ_MCO,SEJ_PSY,SEJ_SSR,WEEK,YEAR,CLUSTER
15,2017-09-01,3400893022634,1157.0,187.0,9,10.5,5001.0,539067.0,714.0,5048.0,4597.666666666667,75420.0,1236.0,261.0,35,2017,5
6,2017-09-01,3400892745848,1157.0,187.0,9,9.5,5001.0,539067.0,714.0,3160.0,2756.6666666666665,75420.0,1236.0,261.0,35,2017,3
11,2017-09-01,3400891225037,1157.0,187.0,9,18.5,5001.0,539067.0,714.0,12260.0,12807.333333333334,75420.0,1236.0,261.0,35,2017,2
17,2017-09-01,3400892669236,1157.0,187.0,9,26.0,5001.0,539067.0,714.0,7739.0,7554.333333333333,75420.0,1236.0,261.0,35,2017,3
7,2017-09-01,3400893736135,1157.0,187.0,9,5.0,5001.0,539067.0,714.0,4251.0,4290.333333333333,75420.0,1236.0,261.0,35,2017,7
4,2017-09-01,3400892088310,1157.0,187.0,9,8.5,5001.0,539067.0,714.0,2686.0,2502.333333333333,75420.0,1236.0,261.0,35,2017,0
13,2017-09-01,3400892065366,1157.0,187.0,9,14.0,5001.0,539067.0,714.0,5232.0,4920.0,75420.0,1236.0,261.0,35,2017,0
18,2017-09-01,3400892508566,1157.0,187.0,9,1.0,5001.0,539067.0,714.0,0.0,0.0,75420.0,1236.0,261.0,35,2017,6
14,2017-09-01,3400892761695,1157.0,187.0,9,13.5,5001.0,539067.0,714.0,13485.0,14896.666666666666,75420.0,1236.0,261.0,35,2017,3
3,2017-09-01,3400892729589,1157.0,187.0,9,10.5,5001.0,539067.0,714.0,4560.0,4302.666666666667,75420.0,1236.0,261.0,35,2017,3
12,2017-09-01,3400893875490,1157.0,187.0,9,17.5,5001.0,539067.0,714.0,9196.0,8543.0,75420.0,1236.0,261.0,35,2017,1
5,2017-09-01,3400892075761,1157.0,187.0,9,5.5,5001.0,539067.0,714.0,1970.0,1993.3333333333333,75420.0,1236.0,261.0,35,2017,0
3,2017-09-01,3400892052120,1157.0,187.0,9,5.0,5001.0,539067.0,714.0,1630.0,1650.0,75420.0,1236.0,261.0,35,2017,0
1,2017-09-01,3400890837149,1157.0,187.0,9,6.5,5001.0,539067.0,714.0,2510.0,2223.333333333333,75420.0,1236.0,261.0,35,2017,4
12,2017-09-01,3400891996128,1157.0,187.0,9,32.0,5001.0,539067.0,714.0,65220.0,62110.0,75420.0,1236.0,261.0,35,2017,0
8,2017-09-01,3400892697789,1157.0,187.0,9,2.0,5001.0,539067.0,714.0,820.0,813.3333333333334,75420.0,1236.0,261.0,35,2017,3
9,2017-09-01,3400892203645,1157.0,187.0,9,5.5,5001.0,539067.0,714.0,3415.0,3105.0,75420.0,1236.0,261.0,35,2017,8
16,2017-09-01,3400891191226,1157.0,187.0,9,7.0,5001.0,539067.0,714.0,2620.0,2610.0,75420.0,1236.0,261.0,35,2017,2
16,2017-10-01,3400891191226,1157.0,187.0,10,5.0,5001.0,539067.0,714.0,2660.0,2686.6666666666665,75420.0,1236.0,261.0,39,2017,2
11,2017-10-01,3400891225037,1157.0,187.0,10,18.0,5001.0,539067.0,714.0,14840.0,13443.333333333334,75420.0,1236.0,261.0,39,2017,2
13,2017-10-01,3400892065366,1157.0,187.0,10,9.0,5001.0,539067.0,714.0,4988.0,5021.666666666667,75420.0,1236.0,261.0,39,2017,0
10,2017-10-01,3400891235203,1157.0,187.0,10,3.0,5001.0,539067.0,714.0,1400.0,1410.0,75420.0,1236.0,261.0,39,2017,2
5,2017-10-01,3400892075761,1157.0,187.0,10,4.0,5001.0,539067.0,714.0,2480.0,2143.333333333333,75420.0,1236.0,261.0,39,2017,0
12,2017-10-01,3400893875490,1157.0,187.0,10,16.0,5001.0,539067.0,714.0,8434.0,8623.0,75420.0,1236.0,261.0,39,2017,1
7,2017-10-01,3400893736135,1157.0,187.0,10,7.0,5001.0,539067.0,714.0,3730.0,4187.0,75420.0,1236.0,261.0,39,2017,7
6,2017-10-01,3400892745848,1157.0,187.0,10,11.0,5001.0,539067.0,714.0,4130.0,3293.333333333333,75420.0,1236.0,261.0,39,2017,3
9,2017-10-01,3400892203645,1157.0,187.0,10,6.0,5001.0,539067.0,714.0,3930.0,3586.6666666666665,75420.0,1236.0,261.0,39,2017,8
14,2017-10-01,3400892761695,1157.0,187.0,10,13.0,5001.0,539067.0,714.0,15780.0,15021.666666666666,75420.0,1236.0,261.0,39,2017,3
4,2017-10-01,3400892088310,1157.0,187.0,10,8.0,5001.0,539067.0,714.0,2612.0,2643.0,75420.0,1236.0,261.0,39,2017,0
8,2017-10-01,3400892697789,1157.0,187.0,10,2.0,5001.0,539067.0,714.0,1130.0,1010.0,75420.0,1236.0,261.0,39,2017,3
18,2017-10-01,3400892508566,1157.0,187.0,10,1.0,5001.0,539067.0,714.0,0.0,0.0,75420.0,1236.0,261.0,39,2017,6
12,2017-10-01,3400891996128,1157.0,187.0,10,24.0,5001.0,539067.0,714.0,64440.0,63120.0,75420.0,1236.0,261.0,39,2017,0
3,2017-10-01,3400892052120,1157.0,187.0,10,4.0,5001.0,539067.0,714.0,1570.0,1550.0,75420.0,1236.0,261.0,39,2017,0
1,2017-10-01,3400890837149,1157.0,187.0,10,7.0,5001.0,539067.0,714.0,2910.0,2523.333333333333,75420.0,1236.0,261.0,39,2017,4
14,2017-10-01,3400892761527,1157.0,187.0,10,11.0,5001.0,539067.0,714.0,13503.0,11915.0,75420.0,1236.0,261.0,39,2017,3
15,2017-10-01,3400893022634,1157.0,187.0,10,4.0,5001.0,539067.0,714.0,4343.0,4587.333333333333,75420.0,1236.0,261.0,39,2017,5
3,2017-10-01,3400892729589,1157.0,187.0,10,10.0,5001.0,539067.0,714.0,3960.0,4290.0,75420.0,1236.0,261.0,39,2017,3
17,2017-10-01,3400892669236,1157.0,187.0,10,18.0,5001.0,539067.0,714.0,7773.0,7669.0,75420.0,1236.0,261.0,39,2017,3
2,2017-10-01,3400893826706,1157.0,187.0,10,6.0,5001.0,539067.0,714.0,1852.0,1786.0,75420.0,1236.0,261.0,39,2017,1
6,2017-11-01,3400892745848,1157.0,187.0,11,7.0,5001.0,539067.0,714.0,3090.0,3460.0,75420.0,1236.0,261.0,44,2017,3
13,2017-11-01,3400892065366,1157.0,187.0,11,9.5,5001.0,539067.0,714.0,5564.0,5261.333333333333,75420.0,1236.0,261.0,44,2017,0
14,2017-11-01,3400892761695,1157.0,187.0,11,14.0,5001.0,539067.0,714.0,15090.0,14785.0,75420.0,1236.0,261.0,44,2017,3
18,2017-11-01,3400892508566,1157.0,187.0,11,1.0,5001.0,539067.0,714.0,0.0,0.0,75420.0,1236.0,261.0,44,2017,6
