CODE_ATC,DATE,HOSPI_CODE_UCD,LIT_HC,LIT_HP,MONTH,N_UFS,PN_MEDICAL,POPULATION,P_MEDICAL,QUANTITY,QUANTITY_MA,SEJ_MCO,SEJ_PSY,SEJ_SLD,SEJ_SSR,WEEK,YEAR,CLUSTER
3,2017-09-01,3400892052120,4500.0,467.0,9,1.0,15650.0,1843319.0,2556.0,9420.0,8390.0,254570.0,5.0,285.0,8464.0,35,2017,0
1,2017-09-01,3400890837149,4500.0,467.0,9,1.0,15650.0,1843319.0,2556.0,17800.0,17000.0,254570.0,5.0,285.0,8464.0,35,2017,4
12,2017-09-01,3400891996128,4500.0,467.0,9,2.0,15650.0,1843319.0,2556.0,200400.0,194733.3333333333,254570.0,5.0,285.0,8464.0,35,2017,5
8,2017-09-01,3400892697789,4500.0,467.0,9,2.0,15650.0,1843319.0,2556.0,12630.0,11330.0,254570.0,5.0,285.0,8464.0,35,2017,3
9,2017-09-01,3400892203645,4500.0,467.0,9,1.5,15650.0,1843319.0,2556.0,9900.0,8633.333333333334,254570.0,5.0,285.0,8464.0,35,2017,0
16,2017-09-01,3400891191226,4500.0,467.0,9,1.0,15650.0,1843319.0,2556.0,8120.0,8440.0,254570.0,5.0,285.0,8464.0,35,2017,2
16,2017-10-01,3400891191226,4500.0,467.0,10,1.0,15650.0,1843319.0,2556.0,9340.0,8753.333333333334,254570.0,5.0,285.0,8464.0,39,2017,2
11,2017-10-01,3400891225037,4500.0,467.0,10,2.0,15650.0,1843319.0,2556.0,26880.0,24413.33333333333,254570.0,5.0,285.0,8464.0,39,2017,2
13,2017-10-01,3400892065366,4500.0,467.0,10,1.0,15650.0,1843319.0,2556.0,20040.0,18570.0,254570.0,5.0,285.0,8464.0,39,2017,0
10,2017-10-01,3400891235203,4500.0,467.0,10,1.0,15650.0,1843319.0,2556.0,8400.0,6450.0,254570.0,5.0,285.0,8464.0,39,2017,2
5,2017-10-01,3400892075761,4500.0,467.0,10,1.0,15650.0,1843319.0,2556.0,9300.0,9290.0,254570.0,5.0,285.0,8464.0,39,2017,0
12,2017-10-01,3400893875490,4500.0,467.0,10,1.0,15650.0,1843319.0,2556.0,27680.0,22770.0,254570.0,5.0,285.0,8464.0,39,2017,1
